"Scaffold_ID_Smans" "Window_start_Smans" "Window_stop_Smans" "ERR562990_Depth_Smans" "ERR562989_Depth_Smans" "log2_FMcoverage_Smans" "flag_Smans"
"SM_V7_ZW" 2700001 2710000 32.361 27.4716 0.236315251487451 "PAR"
"SM_V7_ZW" 2710001 2720000 30.9484 28.149 0.136781154411339 "PAR"
"SM_V7_ZW" 2720001 2730000 25.5509 26.1368 -0.0327084095693403 "PAR"
"SM_V7_ZW" 2730001 2740000 25.9704 29.9331 -0.204873463455929 "PAR"
"SM_V7_ZW" 2740001 2750000 27.2733 26.5715 0.0376096008786423 "PAR"
"SM_V7_ZW" 2750001 2760000 24.0864 23.4853 0.0364607590687378 "PAR"
"SM_V7_ZW" 2760001 2770000 25.0399 26.1565 -0.062940706099635 "PAR"
"SM_V7_ZW" 2770001 2780000 27.0984 26.8036 0.0157808889732118 "PAR"
"SM_V7_ZW" 2780001 2790000 24.701 28.1601 -0.189083007839204 "PAR"
"SM_V7_ZW" 2790001 2800000 24.0683 27.5465 -0.194734780156346 "PAR"
"SM_V7_ZW" 2800001 2810000 26.7766 25.6409 0.062525882178661 "PAR"
"SM_V7_ZW" 2810001 2820000 25.7273 27.7211 -0.107684447477345 "PAR"
"SM_V7_ZW" 2820001 2830000 24.6316 28.1492 -0.192583577183978 "PAR"
"SM_V7_ZW" 2830001 2840000 21.6525 26.5531 -0.294346693169375 "PAR"
"SM_V7_ZW" 2840001 2850000 32.4889 32.1387 0.0156353244867245 "PAR"
"SM_V7_ZW" 2850001 2860000 29.7426 26.2874 0.178159311739673 "PAR"
"SM_V7_ZW" 2860001 2870000 25.0334 29.8878 -0.255702457042042 "PAR"
"SM_V7_ZW" 2870001 2880000 23.9425 28.6599 -0.259459773971073 "PAR"
"SM_V7_ZW" 2880001 2890000 22.1666 25.9047 -0.224826375009579 "PAR"
"SM_V7_ZW" 2890001 2900000 20.9766 21.3486 -0.0253606066876596 "PAR"
"SM_V7_ZW" 2900001 2910000 24.8954 29.5205 -0.245837961386579 "PAR"
"SM_V7_ZW" 2910001 2920000 23.6434 28.0774 -0.247971831777375 "PAR"
"SM_V7_ZW" 2920001 2930000 27.2224 29.8348 -0.132201841378057 "PAR"
"SM_V7_ZW" 2930001 2940000 25.9187 30.5278 -0.236130265788856 "PAR"
"SM_V7_ZW" 2940001 2950000 27.1548 26.185 0.0524666328047801 "PAR"
"SM_V7_ZW" 2950001 2960000 25.2772 24.7624 0.0296855135182476 "PAR"
"SM_V7_ZW" 2960001 2970000 24.5622 24.6715 -0.00640564601169711 "PAR"
"SM_V7_ZW" 2970001 2980000 25.0383 22.3088 0.16652369991826 "PAR"
"SM_V7_ZW" 2980001 2990000 27.0016 25.3909 0.0887333644542818 "PAR"
"SM_V7_ZW" 2990001 3000000 27.5597 29.5203 -0.0991471991296334 "PAR"
"SM_V7_ZW" 3000001 3010000 27.7328 27.2143 0.0272283553746473 "PAR"
"SM_V7_ZW" 3010001 3020000 27.232 27.9567 -0.0378911333618482 "PAR"
"SM_V7_ZW" 3020001 3030000 29.8297 26.8303 0.152886282409196 "PAR"
"SM_V7_ZW" 3030001 3040000 23.1428 26.8944 -0.216742379789252 "PAR"
"SM_V7_ZW" 3040001 3050000 27.9182 26.5108 0.0746257219467791 "PAR"
"SM_V7_ZW" 3050001 3060000 28.8665 30.322 -0.0709687203922473 "PAR"
